Lot,Audit_ID,Test_ID,Type_Test,Scenario,Oracle,Resultat,Comportement_Observe,Preuve,Fichiers_Modifies,Observation_secondaire
CORR-05,AUD-GMAIL-01,TNR-025,Unitaire / Integration,Resolution et lancement du serveur MCP Gmail via runtime portable Node.js,node.exe et npx-cli.js locaux sont resolus et executes sans faire appel au PATH systeme,PASS,GmailMcpLauncher detecte runtime/node/node.exe et lance npx-cli.js directement,test/services/gmail_mcp_test.dart (test: TNR-025),lib/services/mcp_tools_service.dart,Zero dependance npm ou Node globale sur la machine hote
CORR-05,AUD-GMAIL-02,TNR-059,Integration / Fault Injection,Sauvegarde transactionnelle et refresh de credentials.json OAuth Gmail,"Ecriture atomique via .tmp, conservation de .bak_prev, annulation si fichier 0-octet sans corrompre le fichier actif",PASS,"Le fichier temporaire 0-octet est rejete et supprime, credentials.json conserve son token valide sans corruption",test/services/gmail_mcp_test.dart (tests: TNR-059 nominal & 0-octet injection),lib/services/mcp_tools_service.dart,Garantit l'integrite des jetons d'authentification meme en cas de coupure brutale
CORR-05,MCP-006,CAN-GMAIL-WRITE-AUTH,Canary,"Soumission d'une action Gmail WRITE avec parametres complets et valides (to, subject, body)","Action reconnue securisee (isSafeToExecute=true) avec arguments valides preserves, soumise au gating utilisateur",PASS,"GmailActionPlan genere avec action=gmail_draft_email, isSafeToExecute=true, missingRequiredFields=[]",test/services/gmail_mcp_test.dart (test: TNR-135 draft nominal),lib/services/mcp_tools_service.dart,L'execution reelle necessite confirmation explicite UI
CORR-05,MCP-006,CAN-GMAIL-MCP-006,Canary,Tentative de creation d'un brouillon Gmail sans les arguments obligatoires (to/body),Gating strict: l'action doit etre declaree unsafe (isSafeToExecute=false) et lister les champs manquants,PASS,"Action bloquee avec isSafeToExecute=false et missingRequiredFields=[to], message d'erreur explicite",test/services/gmail_mcp_test.dart (test: Canary Gating draft),lib/services/mcp_tools_service.dart,Empeche toute ecriture accidentelle ou injection de contenu imprecis
CORR-05,MCP-007,CAN-GMAIL-MCP-007,Canary,Tentative de marquage d'un email comme lu/non-lu sans identifiant de message (messageId),"Gating strict: isSafeToExecute=false, champ messageId declare manquant, aucune requete MCP envoyee",PASS,Action bloquee avec isSafeToExecute=false et missingRequiredFields=[messageId],test/services/gmail_mcp_test.dart (test: Canary Gating mark_as_read),lib/services/mcp_tools_service.dart,Evite des actions de masse non intentionnelles sur la boite mail
CORR-05,MCP-010,CAN-GMAIL-MCP-010,Canary,Tentative de creation d'un libelle Gmail sans fournir le nom du libelle,"Gating strict: isSafeToExecute=false, champ name declare manquant, creation refusee",PASS,Action bloquee avec isSafeToExecute=false et missingRequiredFields=[name],test/services/gmail_mcp_test.dart (test: Canary Gating create_label),lib/services/mcp_tools_service.dart,Garantit la validite syntaxique des labels crees
CORR-05,AUD-GMAIL-04,CAN-GMAIL-READ-BYPASS,Canary,Requete de lecture d'emails (list / get / search) avec extraction syntaxique,Les requetes en lecture seule bypassent le blocage d'ecriture et appliquent les filtres temporels,PASS,extractGmailQuery extrait les termes et ajoute automatiquement newer_than:7d ou newer_than:30d,test/services/gmail_mcp_test.dart (test: Canary Filtre Recent),lib/services/mcp_tools_service.dart,Optimisation de bande passante et reduction de latence sur les recherches
CORR-05,AUD-GMAIL-05,CAN-GMAIL-RESILIENCE-0,Canary,Fichier credentials.json 0-octet ou corrompu dans mcp_servers/gmail,"Detection immediate sans hang, retour d'un statut non connecte avec log explicite",PASS,hasGmailCredentials() et _refreshGmailToken() detectent la taille 0 et renvoient false sans crash,test/services/gmail_mcp_test.dart (test: Canary Resilience 0-octet),lib/services/mcp_tools_service.dart,Aucun blocage de l'interface ou boucle de retry infinie
CORR-06,AUD-LLM-01,CAN-LITERT-OWNED,Canary,Cycle de vie complet d'un serveur LiteRT Windows demarre par l'application (owned),"Le serveur est lance sur 127.0.0.1:9379, flag owned=true, et stopWindowsServer() tue le processus owned",PASS,"Processus demarre, repond a /v1/models, puis termine proprement lors de l'arret sans laisser d'orphelin",test/services/litert_runtime_test.dart & test/litert_server_windows_test.dart,lib/services/llm_service.dart,Nettoyage complet des processus fils Windows a la fermeture
CORR-06,AUD-LLM-01,CAN-LITERT-PREEXIST,Canary,Presence prealable d'un serveur LiteRT compatible sur le port 9379 avant le lancement,"L'application detecte le serveur existant, definit owned=false, l'utilise et NE LE TUE PAS a l'arret",PASS,"Serveur preexistant detecte via readiness HTTP /v1/models, stopWindowsServer() n'envoie pas de SIGTERM/kill",test/services/litert_runtime_test.dart (TNR-068/TNR-069) & test/litert_server_windows_test.dart,lib/services/llm_service.dart,Preservation des daemons locaux partages ou des sessions de debug externes
CORR-06,AUD-LLM-01,CAN-LITERT-NO-FALLBACK,Canary,Serveur LiteRT indisponible ou echec de lancement du binaire local,Aucun basculement silencieux vers un LLM cloud ou PATH systeme; notification d'erreur claire,PASS,Echec explicite leve avec message de diagnostic sans requete HTTP distante masquee,test/services/litert_runtime_test.dart (test: TNR-070),lib/services/llm_service.dart,Respect strict de la souverainete locale des donnees de l'utilisateur
CORR-06,AUD-LLM-02,CAN-LITERT-MOD-005,Canary,Import d'un modele LiteRT (.litertlm / .tflite) depuis un chemin du systeme de fichiers local,"Validation de l'extension, import CLI local, ajout a la liste des modeles custom et persistance",PASS,"Le fichier est importe dans le registre custom, accessible pour la selection de modele",test/litert_routing_test.dart (tests model registry),lib/services/litert_model_registry.dart,Support des modeles personnalises ou fine-tunes hors HuggingFace
CORR-06,AUD-LLM-02,CAN-LITERT-MOD-006,Canary,Suppression d'un modele LiteRT (actif ou inactif) depuis l'interface / registre,"Fichiers supprimes sur disque; si le modele etait actif, reinitialisation vers modele par defaut",PASS,Suppression complete du repertoire modele et bascule transparente de la preference active,test/litert_routing_test.dart & test/services/litert_runtime_test.dart,lib/services/litert_model_registry.dart,Evite les pointeurs de modeles orphelins provoquant des crashs lors des requetes suivantes
CORR-06,AUD-LLM-01,CAN-LITERT-NO-PATH-DEP,Canary,Execution du runtime LiteRT sur un systeme sans litert-lm dans les variables d'environnement PATH,Le binaire est resolu exclusivement depuis runtime/litert/ ou le chemin explicite configure,PASS,LlmService n'invoque jamais litert-lm sans chemin absolu verifie,test/services/litert_runtime_test.dart (test: TNR-070),lib/services/llm_service.dart,Isolation et portabilite USB sans presuppose logiciel
CORR-06,AUD-LLM-02,TNR-071,Fault Injection,Telechargement LiteRT tronque (<95% de la taille attendue) ou asset invalide declenchant exitCode!=0,Blocage de promotion: le modele ne doit JAMAIS passer a isDownloaded=true ou 100% dans le registre,PASS,L'exception est levee des la verification de taille / echec d'import; le registre reste a isDownloaded=false,scratch/test_fault_injections.py & test/services/litert_runtime_test.dart (TNR-071),lib/services/litert_model_registry.dart,La chaine taille -> format -> import -> registre empeche tout faux succes
CORR-06,AUD-LLM-02,TNR-094,Unitaire / Integration,"Persistance des hyperparametres (temperature, topK, maxTokens) par modele",Les valeurs modifiees sont enregistrees dans preferences.json et rechargees fidelement,PASS,"Valeurs persistees avec succes dans PortablePreferences sous litert_temp_*, litert_topk_*, litert_maxtok_*",test/services/litert_runtime_test.dart (test: TNR-094),lib/services/litert_model_registry.dart,Conservation des reglages fins par modele entre deux redemarrages
CORR-06,AUD-LLM-02,TNR-131,Unitaire,Integrite et validation du catalogue de modeles LiteRT integre (allowlist),"Tous les modeles de l'allowlist possedent un ID, un nom, une URL et une configuration par defaut valide",PASS,"Registry initialise avec succes, tous les modeles de l'allowlist repondent aux contraintes d'integrite",test/services/litert_runtime_test.dart (test: TNR-131),lib/services/litert_model_registry.dart,Zero regression sur le referentiel de modeles officiels
CORR-07,AUD-WEB-01,CAN-WEB-VIDEO-DL,Canary,Telechargement video nominal avec decoupage / extraction audio via runtime portable,"Execution de yt-dlp portable avec arguments isoles, capture sans blocage du flux stdout/stderr",PASS,yt-dlp portable execute les arguments en liste fermee et transmet le flux de progression sans hang,test/web_media_test.dart & test/web_media_smoke_test.dart,lib/services/web_media_service.dart,Traitement audio/video robuste et conforme aux formats d'entree
CORR-07,AUD-WEB-01,CAN-WEB-PORTABLE-ENV,Canary,"Fonctionnement du module Web Media sur machine hote depourvue de Node, FFmpeg ou Python dans PATH",Les binaires yt-dlp.exe et ffmpeg.exe sont detectes et executes depuis runtime/web_media/,PASS,findYtDlpBinary() et findFfmpegBinary() resolvent les binaires portables locaux sans toucher a PATH,test/services/web_media_updater_runner_test.dart (test: TNR-136),lib/services/web_media_service.dart,Portabilite complete sur environnement Windows vierge
CORR-07,AUD-WEB-02,CAN-WEB-ABSENT-ISOLATION,Canary,Demarrage et execution de l'application CrisperWeaver avec le dossier runtime/web_media/ manquant,"Le service probe() signale isAvailable=false; les autres modules (ASR, Chat, Documents, Batch) restent 100% operationnels",PASS,Desactivation gracieuse du composant Web Media dans l'UI; aucune levee d'exception globale bloquante,test/web_media_smoke_test.dart & test/services/web_media_updater_runner_test.dart,lib/services/web_media_service.dart,Isolation absolue des pannes: un defaut de binaire auxiliaire ne compromet pas le coeur de Jarvisol
CORR-07,AUD-WEB-01,TNR-027,Fault Injection,Telechargement d'un asset yt-dlp altere de plus de 1 Mo et repondant a --version mais corrompu/non conforme,L'updater doit verifier la somme de controle cryptographique (ex: SHA2-256SUMS) fournie par la release GitHub avant promotion,FAIL,L'implementation actuelle verifie la taille (>1 Mo) et le retour de --version mais ne valide pas de hash SHA-256 cryptographique contre la release,scratch/test_fault_injections.py & lib/services/web_media_service.dart (lignes 1120-1175),lib/services/web_media_service.dart,"Conformement aux instructions explicites, ce comportement declenche un FAIL documentaire sans correction de code pendant ce complement"
CORR-07,AUD-WEB-01,TNR-076,Unitaire / Robustesse,Gestion des erreurs de processus dans enumeratePlaylist et getComments lors de reponses non conformes,Les erreurs de processus levent une WebMediaProcessException au lieu de renvoyer une liste vide trompeuse,PASS,Le service consomme stdout/stderr et leve WebMediaProcessException avec message d'erreur complet,test/services/web_media_updater_runner_test.dart (tests: TNR-076),lib/services/web_media_service.dart,Differentie clairement une playlist reellement vide d'un echec de connexion ou d'un blocage d'API
