Nom_Package,Version,Taille_Octets,Fichiers_Count,Licence,Point_Entree_Principal,Raison_Presence
@hono/node-server,2.0.12,120353,25,MIT,dist/index.mjs,Package MCP ou dépendance de production requise
@modelcontextprotocol/sdk,1.30.0,5304465,831,MIT,index.js,Package MCP ou dépendance de production requise
@monsoft/mcp-gmail,0.4.0,99383,25,MIT,dist/index.js,Package MCP ou dépendance de production requise
accepts,1.3.8,16795,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
agent-base,7.1.4,23962,11,MIT,./dist/index.js,Dépendance de production requise par @monsoft/mcp-gmail
ajv,8.20.0,1033496,466,MIT,dist/ajv.js,Dépendance de production requise par @monsoft/mcp-gmail
ajv-formats,3.0.1,56763,15,MIT,dist/index.js,Dépendance de production requise par @monsoft/mcp-gmail
ansi-regex,5.0.1,5609,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
ansi-styles,4.3.0,16978,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
array-flatten,1.1.1,4422,4,MIT,array-flatten.js,Dépendance de production requise par @monsoft/mcp-gmail
base64-js,1.5.1,9624,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
bignumber.js,9.3.1,351589,10,MIT,bignumber,Dépendance de production requise par @monsoft/mcp-gmail
body-parser,1.20.6,80917,15,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
buffer-equal-constant-time,1.0.1,5232,7,BSD-3-Clause,index.js,Dépendance de production requise par @monsoft/mcp-gmail
bundle-name,4.1.0,3146,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
bytes,3.1.2,12270,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
call-bind-apply-helpers,1.0.2,15952,21,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
call-bound,1.0.4,17106,11,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
cliui,8.0.1,32314,9,ISC,build/index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
color-convert,2.0.1,27189,7,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
color-name,1.1.4,6693,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
content-disposition,0.5.4,19113,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
content-type,1.0.5,10471,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
cookie,0.7.2,23382,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
cookie-signature,1.0.7,4083,4,MIT,index,Dépendance de production requise par @monsoft/mcp-gmail
cors,2.8.6,19956,4,MIT,./lib/index.js,Dépendance de production requise par @monsoft/mcp-gmail
cross-spawn,7.0.6,16094,9,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
debug,2.6.9,51243,17,MIT,./src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
default-browser,5.5.0,6871,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
default-browser-id,5.0.1,3173,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
define-lazy-prop,3.0.0,4415,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
depd,2.0.0,27117,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
destroy,1.2.0,9018,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
dunder-proto,1.0.1,13003,15,MIT,False,Dépendance de production requise par @monsoft/mcp-gmail
ecdsa-sig-formatter,1.0.11,20588,7,Apache-2.0,src/ecdsa-sig-formatter.js,Dépendance de production requise par @monsoft/mcp-gmail
ee-first,1.1.1,6259,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
emoji-regex,8.0.0,48255,8,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
encodeurl,2.0.0,6980,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
es-define-property,1.0.1,10217,11,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
es-errors,1.3.0,12324,22,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
es-object-atoms,1.1.2,11967,16,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
escalade,3.2.0,12385,11,MIT,dist/index.js,Dépendance de production requise par @monsoft/mcp-gmail
escape-html,1.0.3,3660,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
etag,1.8.1,10809,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
eventsource,3.0.7,147304,13,MIT,./dist/index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
eventsource-parser,3.1.0,123218,21,MIT,./dist/index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
express,4.22.2,222519,16,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
express-rate-limit,8.6.1,201383,20,MIT,./dist/index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
extend,3.0.2,23461,10,MIT,index,Dépendance de production requise par @monsoft/mcp-gmail
fast-deep-equal,3.1.3,12966,11,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
fast-uri,3.1.5,167683,34,BSD-3-Clause,index.js,Dépendance de production requise par @monsoft/mcp-gmail
finalhandler,1.3.2,19149,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
forwarded,0.2.0,5876,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
fresh,0.5.2,10116,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
function-bind,1.1.2,31427,12,MIT,index,Dépendance de production requise par @monsoft/mcp-gmail
gaxios,6.7.1,115478,22,Apache-2.0,build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
gcp-metadata,6.1.1,82941,10,Apache-2.0,./build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
get-caller-file,2.0.5,4719,6,ISC,index.js,Dépendance de production requise par @monsoft/mcp-gmail
get-intrinsic,1.3.0,46542,9,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
get-proto,1.0.1,10840,15,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
google-auth-library,9.15.1,611526,78,Apache-2.0,./build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
google-logging-utils,0.0.2,57377,14,Apache-2.0,build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
googleapis,129.0.0,103935425,1562,Apache-2.0,./build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
googleapis-common,7.2.0,95267,24,Apache-2.0,build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
gopd,1.2.0,9869,12,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
gtoken,7.1.0,41388,6,MIT,./build/src/index.js,Dépendance de production requise par @monsoft/mcp-gmail
has-symbols,1.1.0,23409,16,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
hasown,2.0.4,10332,10,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
hono,4.12.33,1357018,562,MIT,dist/cjs/index.js,Dépendance de production requise par @monsoft/mcp-gmail
http-errors,2.0.1,19064,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
https-proxy-agent,7.0.6,77220,22,MIT,./dist/index.js,Dépendance de production requise par @monsoft/mcp-gmail
