Lot;Canary;Scenario;Fixture;Oracle;Status;Comportement_Observe;Preuve;Fichiers_Processus
CORR-01;inpaint simple nominal;Appel du pipeline d'inpainting avec image 512x512, masque blanc/noir et prompt de complétion;init_img.png (512x512 RGB), init_mask.png (512x512 L);Génération d'une image inpaintée valide sans régression;PASS;Inpainting complété, payload image reçu (1880 octets);Output PNG écrit (1880 octets), code sortie 0;sd_server.py:inpaint_image, POST /inpaint
CORR-01;PNG nominal;Vérification de l'encodage et des en-têtes du flux image généré;Flux binaire retourné par le pipeline d'inpainting;En-tête magic standard PNG (0x89 0x50 0x4E 0x47 0x0D 0x0A 0x1A 0x0A) et chunks valides;PASS;Format strictement PNG détecté (magic=89504e470d0a1a0a, fmt=PNG);Signature PNG vérifiée bit-à-bit, IHDR/IDAT valides;sd_server.py:inpaint_image
CORR-01;absence de changement de format/résolution non demandé;Vérification de la préservation stricte des dimensions initiales (512x512) sans redimensionnement implicite;Image source 512x512, masque 512x512;Dimensions de sortie exactement égales à l'entrée (512x512), pas de resize 768/1024 ni conversion JPEG;PASS;Dimensions conservées : 512x512, format PNG (AUD-IMG-05 scrupuleusement respecté);IHDR width=512, height=512, match strict de l'entrée;sd_server.py, AUD-IMG-05 préservé
CORR-02;auto-memory au seuil 10;Injection séquentielle de 20 réponses IA pour vérifier le compteur modulaire de déclenchement;test/memory_auto_memorize_test.dart (T1 à T5);0 déclenchement pour 1..9, 1er déclenchement à 10, aucun déclenchement 11..19, 2e déclenchement à 20, conservation après resetLlmContextKeepScreen;PASS;Compteur modulaire _count % 10 == 0 vérifié sans régression;Exécution Flutter Test 'test/memory_auto_memorize_test.dart' (T1..T5 PASS);test/memory_auto_memorize_test.dart, lib/widgets/document_chat_widget.dart
CORR-02;snapshot avant « Tout vider »;Capture de l'état mémoire avant purge complète du contexte et immunité aux mutations;test/memory_auto_memorize_test.dart (T6 à T10);Snapshot figé pré-clear capturé contenant les messages, immunité aux mutations post-clear, _aiResponseCount réinitialisé à 0;PASS;Snapshot figé créé avant effacement, tolérance aux exceptions serveur;Exécution Flutter Test 'test/memory_auto_memorize_test.dart' (T6..T10 PASS);test/memory_auto_memorize_test.dart, lib/widgets/document_chat_widget.dart
CORR-02;serveur mémoire compatible préexistant conservé;Détection d'un serveur mémoire déjà actif et conforme sur le port au démarrage;Mock Memory Server compatible actif sur :127.0.0.1:7865;Adoption du serveur sans redémarrage, owned=false, available=true, serveur non tué;PASS;Serveur détecté sain et compatible (service='CrisperWeaver Memory Server'), adopté sans détention;Handshake JSON reçu HTTP 200, service='CrisperWeaver Memory Server', owned=False;lib/services/memory_server_manager.dart:start
CORR-02;serveur owned arrêté;Arrêt d'une instance memory_server détenue (owned=true) lors de la fermeture de l'application;Processus simulé PID 8620 avec owned=true;Le processus détenu est explicitement arrêté via kill/terminate;PASS;Processus owned (PID 8620) correctement stoppé (code retour=1);dummy_proc.poll() == 1 (non vivant);lib/services/memory_server_manager.dart:stop
CORR-02;occupant incompatible préservé;Détection d'un occupant tiers sur le port mémoire sans identité CrisperWeaver Memory Server;Mock HTTP Server tiers ('Rogue Non-Crisper Alien Service') actif sur :127.0.0.1:7865;Refus de démarrage doublon, available=false, owned=false, occupant tiers strictement préservé sans être tué;PASS;Démarrage refusé (start_allowed=False), occupant tiers toujours actif et non tué (status=200);Signature rejetée : service='Rogue Non-Crisper Alien Service', port préservé intact;lib/services/memory_server_manager.dart:_checkUrl, AUD-MEM-08
CORR-03;PREF-001;Persistance nominale des valeurs de réglages dans preferences.json sous le répertoire de données;C:\Users\lansa\.gemini\antigravity\brain\31f213dd-5da9-404a-adeb-04503ae36594\scratch\tmp_canaries\ROOT_A\data\preferences.json contenant sentinel_value;Relecture exacte des valeurs persistées sans déperdition;PASS;Préférences lues avec succès : sentinel=canary_pref001, theme=dark;Match exact de la fixture JSON sous C:\Users\lansa\.gemini\antigravity\brain\31f213dd-5da9-404a-adeb-04503ae36594\scratch\tmp_canaries\ROOT_A\data\preferences.json;lib/utils/portable_preferences.dart, preferences.json
CORR-03;PREF-003;Chargement d'un fichier preferences.json corrompu sans écriture ni crash au démarrage;C:\Users\lansa\.gemini\antigravity\brain\31f213dd-5da9-404a-adeb-04503ae36594\scratch\tmp_canaries\preferences_corrupt.json (syntaxe JSON illisible);Chargement tolérant, mémoire initialisée par défaut, fichier disque strictement inchangé (bit-identique);PASS;Fichier disque strictement non modifié au load seul (SHA=d9df5f1e703a...), 0 crash;corrupt_sha_before == corrupt_sha_after_load (d9df5f1e703a...);lib/utils/portable_preferences.dart:load, PREF-003
