source_backup_path,size_bytes,sha256,distributed_in_c84,status
sd_server.py.bak_20260901_1818,25069,2c615e00a6b059bc5cf02cceea987d2a746863d958a3007b916faea9744d84ba,False,SOURCE_BACKUP_NOT_DISTRIBUTED
sd_server.py.bak_20260903_1904,26213,5afcee36ae09e645c6ea19588aff9fa31f913aef1ae1b3abe3a3a721ceacf3c3,False,SOURCE_BACKUP_NOT_DISTRIBUTED
assets/models/image_model_catalog.json.bak_20260908_120550,14648,4d363c47103edd66fb591a30c69f497d043f663d19ce370c44882502db8e03ca,False,SOURCE_BACKUP_NOT_DISTRIBUTED
assets/models/model_allowlist.json.bak_20260901_2115,9503,b89989aad8b9c9d2984115c5ff71412ebbc792d6854c0ca8e3c1d428bf9a35b5,False,SOURCE_BACKUP_NOT_DISTRIBUTED
backups/llm_service.dart.bak,8537,178155f9aa431a4ed364c95fc00b89634c7fa8d511e2103906ee78585defb3e8,False,SOURCE_BACKUP_NOT_DISTRIBUTED
backups/MainActivity.kt.bak,40902,0bb86bafb444dc3dae62ad694d74c2f54987daf37f05f49b43b6cf44b862cd73,False,SOURCE_BACKUP_NOT_DISTRIBUTED
bin/test_yt.dart.bak_20260831_1134,1140,2fa2dc12a43bc986b16f3bf79a2a3f69923cc05c57ab813c4f04b88a279604da,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/flutter_assets/assets/models/image_model_catalog.json.bak_20260908_120550,14648,4d363c47103edd66fb591a30c69f497d043f663d19ce370c44882502db8e03ca,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/flutter_assets/assets/models/model_allowlist.json.bak_20260901_2115,9503,b89989aad8b9c9d2984115c5ff71412ebbc792d6854c0ca8e3c1d428bf9a35b5,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/unit_test_assets/assets/models/image_model_catalog.json.bak_20260908_120550,14648,4d363c47103edd66fb591a30c69f497d043f663d19ce370c44882502db8e03ca,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/unit_test_assets/assets/models/model_allowlist.json.bak_20260901_2115,9503,b89989aad8b9c9d2984115c5ff71412ebbc792d6854c0ca8e3c1d428bf9a35b5,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/memory_server.exe.bak,327680,2272164736154c46ed53dba0b87701e47a70e9461386b80206b26e408af00e37,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/sd_server.exe.bak,28847963,92afc21f6bf1387b0090bf11b79284aebc9d8af8241a7e912cc050248b44985f,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/sd_server.exe.bak2,28849852,c31bd1b86197dd77c39e4baed31ab9a0a012bb8e0a4e74bb8bbb7ced2ddd405f,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/sd_server.exe.bak_20260901_1818,28848209,fb28cb3e89537250312cf99fea8e0ec9c3577befff9ef009e45cf00f230c69cd,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/sd_server.exe.bak_20260903_1914,28849669,745cada7edec14aa7f31438dc02c1629450572cfad009412da3273d45e61e4e3,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/sd_server.py.bak_20260903_1904,23140,ac252cff89825c8f1d97c045fb59f876d01925a46a4f9859d14521e4a79568ed,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/start_litert_server.bat.bak_corrmap,745,b93c1d7b960bb05060705502ac112a602695a719b2814665b982464f5e247c62,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/data/preferences.json.bak_before_restore,17791,eed9e5b3153619aa6399fabaceabb4414ecd457cf959c088d819078e19d26bda,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/data/flutter_assets/assets/models/image_model_catalog.json.bak_20260908_120550,14648,4d363c47103edd66fb591a30c69f497d043f663d19ce370c44882502db8e03ca,False,SOURCE_BACKUP_NOT_DISTRIBUTED
build/windows/x64/runner/Release/data/flutter_assets/assets/models/model_allowlist.json.bak_20260901_2115,9503,b89989aad8b9c9d2984115c5ff71412ebbc792d6854c0ca8e3c1d428bf9a35b5,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/main.dart.bak,39073,ed8fa1b406a6c98f0e4f9ae34ac577c39ba24039d635103a2e1bc471e319986d,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/main.dart.bak_20260901_2056,41912,900dad8da629976903aab99a92da949d77d7a619affba37c82cfa99efd9c5a89,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/main.dart.bak_20260906_2122,42571,2e3c8a572275ac6ed747064e153e664c947b90ccefe3eb3984e45c3e7dc68a68,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/main.dart.bak_20260907_1029,42771,eb1e067a27cae17f4662279f753afb98765003035e8958e293e425ca86483a9d,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/main.dart.bak_20260907_1353,42850,e4f19e6233b0475c5dfc8fe779de1957e538a3ff1e7ae5462af457bd4de61550,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/main.dart.bak_20260908_0746,42872,2e98b73943ae1b2a9eb0e160fbdc9454d945d4679e6c357a5fc6e0ed1517c72e,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/models/audiobook_models.dart.bak_20260831_1041,17131,27da8bf19a4681ec09605a6bc296a9fd19e64bd5a04998e4e84ab6ca74ea44cd,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/models/audiobook_rules.dart.bak_20260831_1041,9546,388f84a23e9eaf92944c5d9dee4ebd2fdd869375e07cf3dc00520fd3d0e725ac,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/models/hardware_profile.dart.bak_20260907_1336,14391,aac1b340af15e016acb1bda88e5d2cbe8b95609715c94e3fe3367565fbae34a5,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/models/hardware_profile.dart.bak_20260907_1507,18144,c50608941d29248b7096dfdf5001279d0d0f6ca5504c316ed37418fbc027e200,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/models/image_model_catalog.dart.bak_20260908_0746,18380,e19f9879e493b72f463f0a314e08304614c7db344540dfff268a69cdfaa459ee,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/models/image_model_catalog.dart.bak_20260908_120434,18380,e19f9879e493b72f463f0a314e08304614c7db344540dfff268a69cdfaa459ee,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/screens/ai_conversations_screen.dart.bak_20260826_2344,30253,5e3f573c04f45929e2e2f86e94b0cfbe51c38fdcf07731ff33982aa1cd2a653c,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/screens/ai_conversations_screen.dart.bak_20260831_1041,30253,5e3f573c04f45929e2e2f86e94b0cfbe51c38fdcf07731ff33982aa1cd2a653c,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/screens/ai_conversations_screen.dart.bak_20260831_1849,30956,457d779fe6dc3101752c07ff548d9c426d1fb0b8fd968b8711f44f28cebb2ba5,False,SOURCE_BACKUP_NOT_DISTRIBUTED
lib/screens/image_models_screen.dart.bak_,34853,739311f8b2903c4e5f9da64698abfe4e1b230a62b2d17c904ffca99a1b3c9506,False,SOURCE_BACKUP_NOT_DISTRIBUTED
