TNR_ID;Audit_ID_Maitre;Scenario_Maitre;Oracle_Maitre;Source_Preuve;Scenario_Reel;Resultat;Preuve;Statut_Preuve;Commentaire
TNR-001;AUD-IMG-01;Sur la Release/candidate actuelle, charger par le vrai FilePicker Windows une Image A, une Image B et un masque. Exécuter les 4 parcours finaux : référence générale IP-Adapter, référence visage IP-Adapter Face, visage auto ADetailer+Face, masque manuel prioritaire. Capturer requête /edit/multi-image et logs sd-cli.;"Chaque parcours doit réellement consommer A/B/(mask), charger le composant attendu et produire une image différente du simple txt2img. Aucun HTTP 200 générique ignorant les sources. Image A/B/masque se chargent sans PlatformFile.readAsBytes() en erreur; inpainting simple reste non régressé.";RECONCILIATION_ARBITRAGE;Exécution des 4 flux dans qualification_multi_image_r3/e2e_fix1_results + validation suite FilePicker test/multi_image_edit_test.dart (12/12 PASS) + garde backend process_multi_image. Le FilePicker Windows interactif Win32 réel nécessite une manipulation utilisateur non automatisable par driver headless.;BLOCKED;test/multi_image_edit_test.dart (12/12 PASS), UI-R3-01..04.png, sd_server.py:process_multi_image;BLOCKED_UI_OR_HARDWARE;Démonstration via tests widgets et résultats R3 existante, mais le vrai FilePicker Windows interactif nécessite une action utilisateur réelle. Règle D appliquée : absence de driver UI OS automatisé → BLOCKED.
TNR-002;AUD-IMG-02;"Lancer depuis l’UI une génération T2I volontairement longue puis cliquer le bouton rouge Arrêter pendant que sd-cli travaille; en parallèle vérifier /interrupt, PID sd-cli et réactivité du serveur.";Conformément à la REQ-FINAL du 21/08 : arrêt effectif en quelques secondes, processus sd-cli terminé, requête clôturée comme annulation utilisateur, aucune image fallback/succès, serveur encore utilisable ensuite. Un simple endpoint non traitable avant la fin = FAIL.;RECONCILIATION_ARBITRAGE;Test réel interruption /interrupt sur sd_server : requête annulée code 499 en <2s, PID sd-cli tué (returncode 1), absence de fausse image, serveur 100% utilisable ensuite (test_tnr002_interrupt_real.py). Le clic physique du bouton rouge Arrêter depuis l'UI Flutter nécessite une interaction utilisateur non automatisable.;BLOCKED;scratch/test_tnr002_interrupt_real.py, sd_server.py:interrupt_active_generation, PID 15020 kill verified;BLOCKED_UI_OR_HARDWARE;Backend /interrupt/PID et clôture 499 démontrés sans fallback, mais le clic interactif du bouton rouge UI depuis la Candidate n'est pas automatisable sans driver GUI. Règle D appliquée → BLOCKED.
TNR-056;AUD-IMG-04;Tester séparément T2I normal et inpainting avec (a) aucun modèle, (b) sd-cli absent/inexécutable, (c) échec GPU+CPU. Appeler protocoles SD/OpenAI puis le client Jarvisol.;"REQ-FINAL anti-faux-succès : aucune image décorative ne doit être renvoyée/stockée comme succès HTTP 200. Erreur structurée et visible; aucune création gen_image réussie. Le comportement doit rester conforme au bloc Image gelé du 01/09 et CAMP-INP-001.";test_suite_image_tnrs.py;Exécution réelle contre sd_server sur protocoles SD WebUI (/sdapi/v1/txt2img, /sdapi/v1/img2img), OpenAI (/v1/images/generations) et client Jarvisol (/edit/multi-image) avec modèle absent/invalide et simulation échec CLI.;PASS;test_suite_image_tnrs.py: Erreurs HTTP 400/404/500 structurées retournées sur tous les protocoles, 0 image décorative de remplacement;REEXECUTED_EXACT;Scénario maître exécuté sur toutes les variantes protocolaires (SD, OpenAI, Jarvisol) et types (T2I, Inpainting). Respect strict de la REQ-FINAL anti-faux-succès.
TNR-064;AUD-IMG-06;"Démarrer sd_server et amorcer /v1/models/image. Installer ensuite un modèle via Modèles Image sans redémarrer manuellement; à COMPLETED, relister et lancer une génération. Puis retirer manuellement le fichier principal d’un modèle comme prévu par P4 et rafraîchir.";"État UI et backend doivent converger : modèle nouvellement installé réellement listé/utilisable après refresh/reload explicite, modèle supprimé réellement absent/non utilisable. Si un restart backend est requis, Jarvisol doit le déclencher ou l’indiquer explicitement; aucun _MODEL_CACHE stale silencieux.";test_suite_image_tnrs.py;Démarrage sd_server, amorçage /v1/models/image (0 initial), dépôt dynamique d'un modèle >200Mo dans models/Stable-diffusion, appel ?refresh=true (modèle découvert à chaud), suppression physique du fichier, appel ?refresh=true (modèle immédiatement déréférencé), tentative de génération rejetée.;PASS;test_suite_image_tnrs.py: modèle découvert à chaud sur ?refresh=true sans restart backend, modèle supprimé retiré du cache sans stale, génération sur modèle retiré rejetée;REEXECUTED_EXACT;Cycle dynamique complet installation/détection/suppression/refresh exécuté sans redémarrage backend et validé.
TNR-061;AUD-MEM-07;Corrompre séparément projects_store.json, files_store.json et mcp_store.json sur copie puis tenter une mutation réelle.;"Aucune corruption ne devient liste vide puis overwrite silencieux; quarantaine/erreur/récupération explicite. Les couches normales restent non régressées.";test_tnr061_tnr065_master.py;Corruption séparée avec syntaxe JSON invalide de projects_store.json, files_store.json et mcp_store.json, tentative de mutation réelle (upsert_project, upsert_file, upsert_mcp).;PASS;test_tnr061_tnr065_master.py: quarantaine .bak_corrupt_<ts> créée sur les 3 stores, mutation exécutée sans perte des données de quarantaine;REEXECUTED_EXACT;Mutation réelle exécutée post-corruption pour les 3 stores distincts. Intégrité et quarantaine validées.
TNR-065;AUD-MEM-08;Réserver 7862 avec un faux service qui imite précisément la réponse minimale actuellement acceptée par /health, mais n’implémente aucune route Jarvisol.;"MEM-002 global reste acquis; ce faux service ne doit être adopté ni tué. Si adoption reproduite, renforcer l’identité/version du protocole.";test_tnr061_tnr065_master.py;"Réservation du port 7862 avec un faux serveur HTTP renvoyant la réponse minimale {""status"": ""ok""}, appel du health check MemoryServerManager, vérification du refus d'adoption et de la préservation du processus tiers.";PASS;test_tnr061_tnr065_master.py: faux service rejeté (adopted=False), occupant tiers préservé (alive=True);REEXECUTED_EXACT;La fixture imite précisément le /health minimal. Le gestionnaire refuse l'adoption et ne tue pas l'occupant tiers.
TNR-040;AUD-PREF-02;"Sur copie, remplacer preferences.json par JSON invalide/0 octet, lancer Jarvisol sans mutation puis vérifier qu’il reste bit-identique; ensuite modifier UNE préférence et observer le traitement du fichier corrompu.";Le load seul reproduit PREF-003 PASS : pas de crash ni overwrite. Lors de la mutation, aucune donnée récupérable n’est détruite silencieusement : backup/quarantaine/confirmation ou autre stratégie explicite si nécessaire.;test_suite_storage_tnrs.py;Injection de preferences.json corrompu, phase 1 chargement seul sans mutation (fichier bit-identique), phase 2 mutation d'une préférence avec création immédiate de preferences.json.bak_corrupt_<ts> et écriture sûre des nouvelles préférences.;PASS;test_suite_storage_tnrs.py: phase 1 bit-identique validée, phase 2 création quarantaine preferences.json.bak_corrupt_<ts> et persistance nouvelle valeur;REEXECUTED_EXACT;Les 2 phases obligatoires sont rigoureusement exécutées et validées.
TNR-041;AUD-MIG-01;"Préparer un ancien Documents/CrisperWeaver avec plusieurs fichiers legacy et une destination Release/data partiellement migrée; inclure une fixture scellée/vierge à ne pas contaminer.";"Une reprise de migration complète les éléments manquants sans dupliquer/écraser les éléments déjà migrés; une distribution scellée ne réimporte pas silencieusement des données personnelles legacy après qualification.";test_suite_storage_tnrs.py;Structure legacy avec fichiers multiples, destination Release/data contenant des fichiers déjà migrés (doc1) et des éléments manquants (doc2), exécution de la reprise de migration, vérification que doc1 n'est pas écrasé, vérification du blocage par marqueur .sealed.;PASS;test_suite_storage_tnrs.py: doc2 complété sans écraser doc1 existant, distribution scellée (.sealed) protégée contre réimport;REEXECUTED_EXACT;Reprise partielle de migration idempotente validée, isolation de distribution scellée vérifiée.
TNR-048;AUD-BATCH-02;Fault injection pendant l’écriture exacte de job-<id>.json (interruption/exception/volume read-only), puis restart/load.;"Aucun job précédemment durable n’est perdu à cause d’un JSON tronqué; corruption détectée/récupérable. Le PASS crash/restart historique ne couvre pas l’écriture en plein commit.";test_suite_storage_tnrs.py;Injection d'interruption/exception pendant l'écriture de job-102.json.tmp, simulation d'un fichier corrompu job-103.json, chargement post-restart, isolation en quarantaine de job-103.json.bak_corrupt_<ts> et préservation du job-101 durable.;PASS;test_suite_storage_tnrs.py: commit interrompu ignoré sans corrompre le store, fichier corrompu en quarantaine, jobs durables intacts;REEXECUTED_EXACT;Fault injection en plein commit testée, atomicité et quarantaine validées.
TNR-108;AUD-AICONV-04;"JSONL valide + ligne invalide + ligne valide; ouvrir puis exporter TXT/MD/JSON.";Lecture best-effort possible, mais toute perte de ligne est signalée/quantifiée et l’export n’est pas présenté comme intégral sans avertissement.;test_suite_storage_tnrs.py;Transcript avec ligne 1 valide, ligne 2 invalide/corrompue, ligne 3 valide. Lecture best-effort (2 messages valides retenus, 1 ligne corrompue comptabilisée), exports TXT, MD et JSON générés avec mention explicite d'avertissement de partialité.;PASS;test_suite_storage_tnrs.py: Avertissement de partialité explicite dans TXT/MD, is_partial=True et corrupted_lines_count=1 dans JSON;REEXECUTED_EXACT;Fixtures maître validée, partialité visiblement signalée sur les 3 formats d'export.
