Lot;Audit_ID;TNR_ID;Type_Test;Resultat;Oracle;Comportement_Observe;Preuve;Fichiers_Modifies;SHA_Avant;SHA_Apres;Rollback;Observation_secondaire
CORR-01;AUD-IMG-01;TNR-001;TNR;PASS;POST /edit/multi-image répond HTTP 200 avec status=ok et base64 image valide;Endpoint implémenté, dispatch process_multi_image et retourne image PNG valide;test_corr01.py (TNR-001 PASS, payload base64 généré);sd_server.py;bd150b1efcfa0148a313e41a44e8ac7d0efe3dafd1434d348c909d3096fc0f50;760ce69ce0d066b8200b724d640c78e57351ac0bd41b16f1527662fab75ddada;Copier sd_server.py.bak_20260914_1751;Conforme au contrat attendu par MultiImageEditWidget
CORR-01;AUD-IMG-02;TNR-002;TNR;PASS;POST /interrupt traité de manière concurrente même si génération active, répond HTTP 200;ThreadingHTTPServer actif, interruption débloquée sans gel;test_corr01.py (TNR-002 PASS, interrupt immédiat);sd_server.py;bd150b1efcfa0148a313e41a44e8ac7d0efe3dafd1434d348c909d3096fc0f50;760ce69ce0d066b8200b724d640c78e57351ac0bd41b16f1527662fab75ddada;Copier sd_server.py.bak_20260914_1751;Drainage complet des rfile et en-têtes Content-Length explicites
CORR-01;AUD-IMG-04;TNR-056;TNR;PASS;En cas de défaillance runtime, le serveur retourne HTTP 500/503 avec JSON d'erreur, jamais un fallback silencieux 200;Retour HTTP 500 explicite et suppression du faux fallback d'art procédural;test_corr01.py (TNR-056 PASS, code HTTP 500 reçu);sd_server.py;bd150b1efcfa0148a313e41a44e8ac7d0efe3dafd1434d348c909d3096fc0f50;760ce69ce0d066b8200b724d640c78e57351ac0bd41b16f1527662fab75ddada;Copier sd_server.py.bak_20260914_1751;Erreurs remontées proprement à l'UI
CORR-01;AUD-IMG-06;TNR-064;TNR;PASS;POST /v1/models/image?refresh=true force le rafraîchissement des modèles locaux sur disque;Paramètre refresh pris en compte et réanalyse des répertoires;test_corr01.py (TNR-064 PASS, refresh=True exécuté);sd_server.py;bd150b1efcfa0148a313e41a44e8ac7d0efe3dafd1434d348c909d3096fc0f50;760ce69ce0d066b8200b724d640c78e57351ac0bd41b16f1527662fab75ddada;Copier sd_server.py.bak_20260914_1751;Cache invalidé sans redémarrage de l'hôte
CORR-01;CANARY;TNR-003;Canary;PASS;Génération image standard texte-vers-image fonctionne normalement;Génération nominale intacte;test_corr01.py (Canary TNR-003 PASS);sd_server.py;bd150b1efcfa0148a313e41a44e8ac7d0efe3dafd1434d348c909d3096fc0f50;760ce69ce0d066b8200b724d640c78e57351ac0bd41b16f1527662fab75ddada;Copier sd_server.py.bak_20260914_1751;Non-régression des formats standards
CORR-02;AUD-MEM-01;TNR-016;TNR;PASS;Écritures concurrentes sur memory_server ne provoquent aucune collision ni perte de faits;Verrou RLock et sauvegarde atomique .tmp -> replace garantissent l'intégrité;test_corr02.py (TNR-016 PASS, 15 écritures parallèles 100% conservées);memory_server.py;ad813fdcc9ba11871157ba1ffc768168a019deb4877a6a078d1168878741a631;a9bda005bac0ade4cbd68a5c5d94cfadc2d86e2ffea7831c393863aa1726194f;Copier memory_server.py.bak_20260914_1755;0 lock contention crash
CORR-02;AUD-MEM-04;TNR-019;TNR;PASS;Sauvegardes de tous les stores JSON mémoire sont atomiques et isolées;Tous les stores (_atomic_json_save) écrivent en .tmp avant de remplacer;test_corr02.py (TNR-019 PASS);memory_server.py;ad813fdcc9ba11871157ba1ffc768168a019deb4877a6a078d1168878741a631;a9bda005bac0ade4cbd68a5c5d94cfadc2d86e2ffea7831c393863aa1726194f;Copier memory_server.py.bak_20260914_1755;Applicable à memory_store, projects, files, mcp
CORR-02;AUD-MEM-07;TNR-061;TNR;PASS;Fichier JSON store mémoire corrompu détecté, mis en quarantaine et restauré sans écrasement destructeur;Quarantaine .bak_corrupt_<ts> créée immédiatement, nouveau store initialisé;test_corr02.py (TNR-061 PASS, quarantaine validée);memory_server.py;ad813fdcc9ba11871157ba1ffc768168a019deb4877a6a078d1168878741a631;a9bda005bac0ade4cbd68a5c5d94cfadc2d86e2ffea7831c393863aa1726194f;Copier memory_server.py.bak_20260914_1755;Préserve les données brutes pour audit
CORR-02;AUD-MEM-08;TNR-065;TNR;PASS;Validation stricte de l'identité du memory_server (rejet des faux serveurs HTTP tiers sur le port);Vérification JSON stricte rejetant les démons tiers sans les tuer;test_corr02.py (TNR-065 PASS, rejet tiers validé);lib\services\memory_server_manager.dart;972095cdcadc15c14a77cad90c05879e4d9a31f5e1e01b26a963da9efa2a0af4;2e44dca9af990701c9cb259f26ab00911faa1bc12648e57a70a24fddc37a8c84;Copier lib\services\memory_server_manager.dart.bak_20260914_1755;Protège contre les collisions de ports locaux
CORR-02;CANARY;TNR-118;Canary;PASS;Lecture et recherche de faits mémoire nominales;Recherche et extraction de faits fonctionnelles sans régression;test_corr02.py (Canary TNR-118 PASS);memory_server.py;ad813fdcc9ba11871157ba1ffc768168a019deb4877a6a078d1168878741a631;a9bda005bac0ade4cbd68a5c5d94cfadc2d86e2ffea7831c393863aa1726194f;Copier memory_server.py.bak_20260914_1755;Recherche sémantique/token préservée
