Lot;Audit_ID;TNR_ID;Type_Test;Scenario;Oracle;Resultat;Comportement_Observe;Preuve;Fichiers_Modifies
PG-C1;AUD-GMAIL-03;TNR-079;DYNAMIC_CORRECTION;Exécution commande MCP générant >100KB sur stderr puis timeout/cancel;Drain concurrent stdout/stderr, aucun blocage, taskkill /F /T sur arbre owned sans orphelin;PASS;stderr drainé sans deadlock (capture bornée 8KB), arbre de processus owned tué proprement sans résidu;scratch/gmail_mcp_tnr079_test.dart (2/2 PASS);lib/services/mcp_tools_service.dart
PG-C1;AUD-GMAIL-03;TNR-025;CANARY;Lecture et écriture Gmail en mode Release;Release-only respecté, format JSON préservé;PASS;Mode Release-only opérationnel;test/services/gmail_mcp_test.dart (9/9 PASS);lib/services/mcp_tools_service.dart
PG-C1;AUD-GMAIL-03;TNR-059;CANARY;Transaction OAuth Gmail;OAuth préservé;PASS;Flux OAuth transactionnel intègre;test/services/gmail_mcp_test.dart (9/9 PASS);lib/services/mcp_tools_service.dart
PG-C1;AUD-GMAIL-03;MCP-006;CANARY;Gestion erreur et crash process MCP;Erreur structurée propagée sans crash parent;PASS;Erreur structurée retournée;test/services/gmail_mcp_test.dart;lib/services/mcp_tools_service.dart
PG-C1;AUD-GMAIL-03;MCP-007;CANARY;Délai expiration et annulation requêtes MCP;Annulation propre sans fuite de processus;PASS;Processus owned terminés avec taskkill /F /T;test/services/gmail_mcp_test.dart;lib/services/mcp_tools_service.dart
PG-C1;AUD-GMAIL-03;MCP-010;CANARY;Isolation des flux I/O MCP;Flux étanches et buffer borné;PASS;Aucun débordement mémoire;test/services/gmail_mcp_test.dart;lib/services/mcp_tools_service.dart
PG-C2;AUD-PREF-01;TNR-039;DYNAMIC_CORRECTION;2 mutations distinctes déclenchées pendant un write disque I/O actif, suivi de restart/reload;Coalescence et sérialisation des écritures : toutes les mutations concurrentes sont persistées;PASS;Les 2 clés concurrentes et les 4 mutations chaînées sont retrouvées intactes sur disque après restart;scratch/test_portable_preferences_concurrency.dart (3/3 PASS) + scratch/test_tnr039_restart.dart (PASS);lib/utils/portable_preferences.dart
PG-C2;AUD-PREF-01;TNR-040;CANARY;Persistance atomique temp + rename;Aucune écriture partielle en cas d'interruption;PASS;Fichier temporaire atomique préservé;test/phase_e_r_preferences_resilience_test.dart (11/11 PASS);lib/utils/portable_preferences.dart
PG-C2;AUD-PREF-01;TNR-041;CANARY;Quarantaine corruption JSON;JSON corrompu déplacé en .corrupt, fallback safe;PASS;Quarantaine active et intacte;test/phase_e_r_preferences_resilience_test.dart;lib/utils/portable_preferences.dart
PG-C2;AUD-PREF-01;TNR-130;CANARY;Non-régression réglages SettingsChangeNotifier;Getters/setters synchronisés avec le disque;PASS;Tous les réglages persistés sans régression;test/settings_change_notifier_test.dart (38/38 PASS);lib/utils/portable_preferences.dart
PG-C3;AUD-BATCH-03;TNR-075;DYNAMIC_CORRECTION;Simulation échec saveJob et erreur I/O sur loadAllJobs();Échec persistance explicite (hasPersistenceError=true, unpersistedJobIds), loadAllJobs I/O error ne vide pas silencieusement la file;PASS;Pas de faux succès durable, persistance non durable tracée, loadAllJobs conserve l'état et active hasLoadError=true, retryPersistence() opérationnel;scratch/test_batch_queue_tnr075.dart (2/2 PASS);lib/services/batch_queue_service.dart
PG-C3;AUD-BATCH-03;TNR-048;CANARY;Cycle de vie complet jobs BatchQueue (enqueue, demote, resume);Gestion statut et reprise intègres;PASS;Cycle complet validé;test/batch_queue_service_test.dart (11/11 PASS);lib/services/batch_queue_service.dart
PG-C3;AUD-BATCH-03;BATCH-NOM;CANARY;Persistance checkpoints, json roundtrip et tri createdAt;Tous champs conservés après écriture/reprise;PASS;Checkpoints et tri chronologique validés;test/batch_persistence_service_test.dart (14/14 PASS);lib/services/batch_queue_service.dart
PG-C4;AUD-IMG-05;TNR-057;DYNAMIC_CORRECTION;Requête génération 1024x1024 / 768x768 / 512x512 vers sd_server.py;Dimensions annoncées dans parameters['width'/'height'] et size correspondent exactement à l'image PNG produite (divergence = 0);PASS;Normalisation explicite vers 768x768 (profil stable VRAM) avec normalized=True, parameters annonce 768x768, divergence = 0;scratch/test_sd_server_tnr057.py (4/4 PASS) + simulation HTTP (2/2 PASS);sd_server.py
PG-C4;AUD-IMG-05;TNR-056;CANARY;Vérification anti-faux succès sur échec GPU/CPU;RuntimeError levée sans fallback art silencieux;PASS;RuntimeError levée sur modèle invalide / échec diffusion;scratch/test_sd_server_tnr057.py (test_03 PASS);sd_server.py
PG-C4;AUD-IMG-05;TNR-001;CANARY;Support backend multi-image R3/FIX1;Process multi-image opérationnel;PASS;Contrat multi-image préservé;sd_server.py;sd_server.py
PG-C4;AUD-IMG-05;TNR-002;CANARY;Support backend inpainting R2;Inpainting contractuel avec masquage;PASS;Inpainting préservé sans régression;sd_server.py;sd_server.py
PG-C4;AUD-IMG-05;IMG-INT;CANARY;Endpoint /interrupt concurrent;Arrêt immédiat du processus actif sans bloquer;PASS;active_process.kill() exécuté sur /interrupt;Simulation HTTP PASS;sd_server.py
