Path,Size_Bytes,Type,Description,Recommended_Action
memory_server.py.bak_20260914_1755,37276,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
sd_server.py.bak_20260901_1818,25069,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
sd_server.py.bak_20260903_1904,26213,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
sd_server.py.bak_20260912_2307,30227,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
sd_server.py.bak_20260914_1751,30742,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
assets/models/image_model_catalog.json.bak_20260912_2307,16001,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
assets/models/image_model_catalog.json.bak_20260912_2357,22763,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
assets/models/model_allowlist.json.bak_20260901_2115,9503,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
backups/llm_service.dart.bak,8537,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
backups/MainActivity.kt.bak,40902,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
bin/test_yt.dart.bak_20260831_1134,1140,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
data/config/image_model_catalog.json.bak_20260912_2307,16001,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
data/config/image_model_catalog.json.bak_20260912_2357,22763,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/main.dart.bak,39073,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/main.dart.bak_20260901_2056,41912,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/main.dart.bak_20260906_2122,42571,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/main.dart.bak_20260907_1029,42771,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/main.dart.bak_20260907_1353,42850,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/main.dart.bak_20260908_0746,42872,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/audiobook_models.dart.bak_20260831_1041,17131,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/audiobook_models.dart.bak_20260913_0751,17677,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/audiobook_rules.dart.bak_20260831_1041,9546,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/hardware_profile.dart.bak_20260907_1336,14391,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/hardware_profile.dart.bak_20260907_1507,18144,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/image_model_catalog.dart.bak_20260908_0746,18380,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
