Lot,Audit_ID,Test_ID,Type_Test,Scenario,Oracle,Resultat,Comportement_Observe,Preuve,Fichiers_Modifies,Observation_secondaire
B-R1,AUD-WEB-02,TNR-027-1,Fault Injection,Téléchargement asset yt-dlp.exe tronqué (< 1 Mo),Rejet immédiat avant validation checksum et avant toute promotion,PASS,"Exception levée: Le binaire téléchargé est invalide ou trop petit (<1Mo), staging nettoyé, binaire actif préservé",scratch/test_tnr027_suite.py (scénario 1),lib/services/web_media_service.dart,Protection contre les téléchargements incomplets ou interrompus
B-R1,AUD-WEB-02,TNR-027-2,Fault Injection,Asset non exécutable corrompu (> 1 Mo),Rejet lors du contrôle d'exécutabilité (--version),PASS,"Exception levée: Le binaire téléchargé ne démarre pas correctement, aucune promotion",scratch/test_tnr027_suite.py (scénario 2),lib/services/web_media_service.dart,Évite la promotion de binaires incompatibles ou corrompus
B-R1,AUD-WEB-02,TNR-027-3,Fault Injection,Asset altéré > 1 Mo répondant à --version mais avec empreinte SHA-256 non conforme,Rejet strict par comparaison de l'empreinte SHA-256 contre le manifeste officiel,PASS,"Exception levée: Échec de vérification SHA-256 (mismatch détecté), promotion formellement bloquée",scratch/test_tnr027_suite.py (scénario 3),lib/services/web_media_service.dart,Résout formellement le défaut de l'audit TNR-027
B-R1,AUD-WEB-02,TNR-027-4,Fault Injection,Manifeste checksum officiel absent (HTTP 404 / indisponible),"Fail-closed: rejet strict de la mise à jour, ancien binaire intact",PASS,"Exception levée: Manifeste checksum officiel introuvable ou inaccessible, aucune promotion",scratch/test_tnr027_suite.py (scénario 4),lib/services/web_media_service.dart,Aucune promotion non certifiée n'est permise
B-R1,AUD-WEB-02,TNR-027-5,Fault Injection,Manifeste checksum malformé ou vide,Fail-closed: rejet strict si le manifeste ne contient pas de hash valide,PASS,"Exception levée: Manifeste checksum officiel vide ou invalide, rollback staging",scratch/test_tnr027_suite.py (scénario 5),lib/services/web_media_service.dart,Validation de la structure du manifeste officiel
B-R1,AUD-WEB-02,TNR-027-6,Fault Injection,Entrée yt-dlp.exe absente du manifeste checksum,Fail-closed: rejet strict si la ligne yt-dlp.exe est introuvable,PASS,Exception levée: Entrée yt-dlp.exe introuvable ou empreinte SHA-256 invalide,scratch/test_tnr027_suite.py (scénario 6),lib/services/web_media_service.dart,Parsing strict et exact de la ligne correspondante
B-R1,AUD-WEB-02,TNR-027-7,Fonctionnel,Checksum valide et binaire valide téléchargés depuis la même release,Promotion réussie avec remplacement atomique et conservation de .bak_prev,PASS,"Empreinte validée, staging promu vers yt-dlp.exe, .bak_prev créé avec succès",scratch/test_tnr027_suite.py (scénario 7),lib/services/web_media_service.dart,Mise à jour sécurisée nominale de bout en bout
B-R1,AUD-WEB-02,TNR-027-8,Fault Injection,Smoke test final post-promotion en échec,Rollback automatique immédiat restaurant l'ancienne version sauvegardée,PASS,"Échec smoke test intercepté, copie de restauration depuis .bak_prev effectuée sans altération",scratch/test_tnr027_suite.py (scénario 8),lib/services/web_media_service.dart,Garantie de non-régression opérationnelle du binaire actif
B-R1,AUD-WEB-02,TNR-027,Synthèse Audit,Vérification cryptographique officielle de l'updater yt-dlp,L'updater valide le SHA-256 contre le manifeste officiel de la même release avant promotion,PASS,Les 8 sous-scénarios de fault injection et validation passent avec succès,lib/services/web_media_service.dart & scratch/test_tnr027_suite.py,lib/services/web_media_service.dart,Défaut résiduel VAGUE-B totalement corrigé
B-R1,AUD-WEB-01,TNR-136,Canary,"Découverte des exécutables portables yt-dlp, ffmpeg et deno dans runtime/web_media/","Tous les exécutables sont détectés et valides (>1Mo), probe() renvoie version active",PASS,"yt-dlp=2026.08.19, ffmpeg=True, deno=True, probe() opérationnel",scratch/test_web_canaries.py,Aucun,Intégrité du bundle portable Web Media
