Test_ID;Type;Scenario;Oracle;Resultat;Preuve;Fichiers_Concernes;Commentaire
LITE-001;INTEGRITY;Vérification immuabilité preferences.json utilisateur candidat avant et après suite de tests;SHA-256 strictement identique à 83F0198CC5E56F4BC96A6B5F6A65170B1283D332E4D668C0E4A5ED90D66D564D (taille 3625 octets);PASS;test/startup_recovery_test.dart (LITE-001 PASS) + SHA recalculé identique;Jarvisol_V1_EXT03_Candidate/data/preferences.json;Fichier utilisateur 100% préservé, 0 modification
LITE-002;TEMPLATE_LITE;Validation structurelle, syntaxique et sécurité de data/preferences.lite.json et preferences.lite.recovery.json;JSON valide, clés conformes, default_model=base, tokens=4096, 0 secret, 0 path absolu;PASS;test/startup_recovery_test.dart (LITE-002 PASS) + jsonDecode + audit clés;data/preferences.lite.json, data/preferences.lite.recovery.json;Template Lite conforme et autonome
LITE-003;AUTOLOAD_MAP;Vérification automatique de la cartographie des charges au démarrage;"Seul WhisperEngine charge un modèle lourd au startup (_doInitialize / loadModel); Lite bascule sur base (~145 MB)";PASS;REQ_POST_002_STARTUP_AUTOLOAD_MAP.csv + test/startup_recovery_test.dart (LITE-003 PASS);REQ_POST_002_STARTUP_AUTOLOAD_MAP.csv;Goulot identifié : Whisper large-v3-turbo (~2.5 GB)
LITE-004;NOMINAL_STARTUP;Démarrage nominal avec profil Lite sans échec;"Marker armé au début d Engine starting puis désarmé à Engine ready; aucun recovery déclenché";PASS;test/startup_recovery_test.dart (LITE-004 PASS);lib/services/startup_recovery_service.dart, lib/screens/transcription_screen.dart;Aucun faux positif sur cycle nominal
LITE-005;MARKER_LIFECYCLE;Validation du cycle de vie du marker transactionnel .engine_starting.json;Absent avant -> Présent pendant Engine starting avec timestamp, session_id, sha256 -> Supprimé à Engine ready;PASS;test/startup_recovery_test.dart (LITE-005 PASS);lib/services/startup_recovery_service.dart;Atomicité du marker via .tmp et rename confirmée
LITE-006;STARTUP_CRASH;Simulation interruption/crash avant Engine ready;Le marker transactionnel .engine_starting.json persiste sur disque comme témoin stale;PASS;test/startup_recovery_test.dart (LITE-006 PASS);lib/services/startup_recovery_service.dart;Témoin de crash conservé pour le redémarrage
LITE-007;AUTO_RECOVERY;Redémarrage après crash Engine starting avec marker stale présent;Sauvegarde bit-for-bit du preferences.json fautif (preferences.failed_<ts>.json), restauration atomique Lite, marker supprimé;PASS;test/startup_recovery_test.dart (LITE-007 PASS);lib/services/startup_recovery_service.dart, lib/main.dart;Restauration Lite 100% réussie, backup vérifié
LITE-008;POST_READY_CRASH;Simulation d un crash intervenant après la confirmation Engine ready;"Aucune restauration Lite déclenchée au redémarrage; préférences utilisateur conservées intactes";PASS;test/startup_recovery_test.dart (LITE-008 PASS);lib/services/startup_recovery_service.dart;Différenciation stricte crash startup vs crash fonctionnel
LITE-009;CORRUPT_FALLBACK;Présence d un marker stale mais baseline Lite absente ou corrompue;"Refus strict d écraser preferences.json; conservation du fichier existant; signalement explicite d échec de recovery";PASS;test/startup_recovery_test.dart (LITE-009 PASS);lib/services/startup_recovery_service.dart;Zéro écrasement destructif, robustesse confirmée
LITE-010;ANTI_LOOP;Détection d un second crash survenu alors que le mode Lite était déjà actif (is_lite=true);Interruption immédiate de la boucle de récupération, pas de multiplication de backups, marker supprimé;PASS;test/startup_recovery_test.dart (LITE-010 PASS);lib/services/startup_recovery_service.dart;Boucle infinie de crash/restore neutralisée
LITE-011;PORTABILITY;Déplacement de la distribution (Release A -> Release B);Toutes les opérations marker/recovery/backup s effectuent strictement dans le data/ local sans chemin absolu;PASS;test/startup_recovery_test.dart (LITE-011 PASS);lib/services/startup_recovery_service.dart;Confinement 100% portable vérifié
LITE-012;BAD_CONFIG_RECOVERY;Simulation d un modèle invalide ou trop lourd configuré par l utilisateur;Échec au startup absorbé et recovery automatique sur profil Lite fonctionnel au restart;PASS;test/startup_recovery_test.dart (LITE-012 PASS);lib/services/startup_recovery_service.dart;Restauration effective après mauvaise configuration
LITE-013;HONEST_MEMORY_PROOF;Qualification honnête de l étiologie mémoire sur machine 16 Go;Distinction explicite entre validation du mécanisme de recovery et reproduction de l OOM réel machine-dépendant;PASS;test/startup_recovery_test.dart (LITE-013 PASS) + REQ_POST_002_STARTUP_AUTOLOAD_MAP.csv;REQ_POST_002_STARTUP_AUTOLOAD_MAP.csv;Preuve technique honnête : réduction de 95% de l empreinte RAM startup
TNR-039;TNR_PREF_CONCURRENCY;Concurrence de sauvegarde PortablePreferences (mutations rapprochées pendant I/O);Coalescence et sérialisation des écritures : 0 mutation perdue au restart;PASS;test_portable_preferences_concurrency.dart (3/3 PASS);lib/utils/portable_preferences.dart;Non-régression concurrence validée
TNR-040;TNR_PREF_CORRUPTION;preferences.json corrompu sur 2 phases (lecture seule puis mutation);"Lecture seule préserve le fichier bit-identique; mutation isole en quarantaine et persiste de façon sûre";PASS;scratch/test_suite_storage_tnrs.py (TNR-040 PASS);lib/utils/portable_preferences.dart;Non-régression corruption validée
TNR-041;TNR_DATA_MIGRATION;Migration partielle et protection .sealed;Reprise idempotente sans écrasement de doc existant plus récent, blocage réimport si .sealed présent;PASS;scratch/test_suite_storage_tnrs.py (TNR-041 PASS);lib/utils/portable_preferences.dart;Non-régression migration validée
TNR-130;TNR_PORTABILITY_CONFINE;Portabilité canonique Release A -> B et absence d écriture externe;Données préservées dans Release B, 0 écriture hors de data/;PASS;scratch/test_suite_storage_tnrs.py (TNR-130 PASS);lib/utils/app_paths.dart;Non-régression portabilité validée
TNR-048;TNR_BATCH_COMMIT;Fault injection pendant commit Batch et reprise après crash;Fichier temporaire ignoré, fichier corrompu isolé en quarantaine, batch valide préservé;PASS;scratch/test_suite_storage_tnrs.py (TNR-048 PASS);lib/services/batch_queue_service.dart;Non-régression persistance batch validée
TNR-068;TNR_LITERT_TCP;LLM local / Identité LiteRT sur port TCP 9379;Non-impact démontré : code runtime LiteRT et serveur local 100% inchangés;PASS;Audit diff git (0 modification LiteRT runtime/server);lib/services/litert_service.dart;Non-impact justifié
TNR-069;TNR_LITERT_LIFECYCLE;LLM local / Cycle de vie LiteRT timeout;Non-impact démontré : code runtime LiteRT et serveur local 100% inchangés;PASS;Audit diff git (0 modification LiteRT runtime/server);lib/services/litert_service.dart;Non-impact justifié
TNR-070;TNR_LITERT_INSTALL;LLM local / Installation modèle LiteRT;Non-impact démontré : code installation modèle LiteRT 100% inchangé;PASS;Audit diff git (0 modification model installer);lib/services/litert_service.dart;Non-impact justifié
TNR-071;TNR_LITERT_INTEGRITY;LLM local / Intégrité modèle LiteRT;Non-impact démontré : code validation intégrité LiteRT 100% inchangé;PASS;Audit diff git (0 modification download logic);lib/services/litert_service.dart;Non-impact justifié
TNR-094;TNR_LITERT_PERSIST;LiteRT / Persistance paramètres et routage modèles;Routage normalisé, résolution d alias et préservation des identifiants;PASS;test/litert_routing_test.dart (18/18 PASS);lib/services/litert_service.dart;Routage et paramètres LiteRT validés
