Point;Scenario;Oracle;Resultat;Preuve;Commentaire
LOGS-PRESERVED;Préservation externe des journaux de banc;Déplacement hors produit vers FINAL_POST_GEL_AUDIT_EVIDENCE\logs\;PASS;crisperweaver.log (30269 o, SHA 5D88CC...) et session.log (10991 o, SHA DBEF56...) archivés;Aucune destruction de preuve de validation.
LOGS-PURGED-FROM-RELEASE;Assainissement distribution Final_v2;0 fichier .log dans Final_v2, répertoire data\logs\ conservé vide;PASS;0 fichier .log détecté dans Final_v2, data\logs\ présent et vide;Conforme aux règles de distribution portable.
HYGIENE-RELEASE;Audit d'hygiène complet de la distribution;0 .log, 0 .bak*, 0 failed_*, 0 .engine_starting*, 0 pref perso, 0 credential;PASS;Scan 65739 fichiers : 0 log, 0 bak, 0 failed, 0 marker, 0 pref perso, 0 secret;Hygiène 100% conforme sur toute l'arborescence.
V3-TO-FINAL-DIFF;Vérification delta V3 -> FINAL;Exactement -2 fichiers (les 2 logs de banc), 0 fichier ajouté, 0 fichier modifié;PASS;In V3 not in FINAL: 2 logs. In FINAL not in V3: 0. Modified: 0. Total = 65739 fichiers;Strict respect du périmètre du gel.
BASE-MODEL-INTEGRITY;Vérification modèle Whisper Lite;Taille = 147951465 octets, SHA = 60ED5BC3DD14EEA856493D334349B405782DDCAF0028D4B5DF4088345FBA2EFE;PASS;Taille = 147951465, SHA256 MATCH;ggml-base.bin présent et inchangé sous data/models/whisper_cpp/.
LITE-TEMPLATES-INTEGRITY;Vérification templates Lite;SHA = A4159701321DC5798B6E7879AC3C7DED036F63476373AD1C8957B7D1D0FBC036;PASS;preferences.lite.json et preferences.lite.recovery.json SHA MATCH;Templates d'origine strictement préservés.
BINARIES-INTEGRITY;Vérification binaires Release compilés;jarvisol.exe et data/app.so SHA inchangés;PASS;jarvisol.exe SHA 1DD2E4... MATCH, data/app.so SHA 0C59BA... MATCH;Binaires issus de l'unique compilation conservés.
SMOKE-FINAL-004;Web Media Search sur Release;Moteur CLI embedded opérationnel / Canvas GUI Direct3D;PASS / BLOCKED_UI;yt-dlp embedded résout ID LVZYU_4VlHE / Canvas qualifié BLOCKED_UI / testWidgets PASS;Statut honnête conservé sans régression.
SMOKE-FINAL-006;Persistance et ordonnancement Batch;data/batch/ inscriptible / Logique queue validée;QUALIFIE / INDIRECT;data/batch/ inscriptible dans Final_v2 / batch_queue_service_test.dart 11/11 PASS;Statut indirect conservé sans nouveau flow E2E.
SOURCE-NON-MUTATION;Invariance stricte du code source;Git HEAD inchangé, 12/12 SHAs source pré/post identiques;PASS;Git HEAD 1a6a27c18c25055deb00e04338ba80fefce11ed7, 12/12 SHAs MATCH;Zéro modification du code source dans CrisperWeaver.
BUILD-COUNT;Non-recompilation;BUILD_COUNT = 1 conservé;PASS;BUILD_COUNT = 1 invariant;Aucun build Release exécuté.
