Lot;Audit_ID;TNR_ID;Type_Test;Scenario;Oracle;Resultat;Comportement_Observe;Preuve;Fichiers_Modifies
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-001;FONCTIONNEL;Recherche textuelle simple sur mots-clés;Extraction structurée NDJSON en objets WebMediaSearchResult (id, url canonique, titre, auteur, durée, miniature);PASS;Objets de résultats complets avec typage et sérialisation conforme;test/web_media_search_test.dart (SEARCH-001 PASS) + test live ytsearch (5 résultats);lib/models/web_media_models.dart,lib/services/web_media_service.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-002;FONCTIONNEL;Recherche avec caractères génériques jokers (* et ?);Extraction de requête de base épurée pour le provider distant et filtrage sémantique local insensible à la casse;PASS;Jokers * et ? correctement résolus et filtrés par priorité (titre > chaîne/auteur > description);test/web_media_search_test.dart (SEARCH-002 PASS);lib/models/web_media_models.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-003;ROBUSTESSE;Recherche ne retournant aucun résultat;Retourne une liste vide [] propre sans lever d exception ni planter l UI;PASS;Liste vide [] retournée avec affichage d un état vide explicite dans le dialogue;test/web_media_search_test.dart (SEARCH-003 PASS);lib/widgets/web_media_import_dialog.dart,lib/services/web_media_service.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-004;INTEGRATION;Sélection d un résultat de recherche vers métadonnées;Acheminement de l URL canonique du résultat sélectionné vers getMetadata();PASS;L URL canonique charge 100% des métadonnées, chapitres et pistes de sous-titres;test/web_media_search_test.dart (SEARCH-004 PASS);lib/widgets/web_media_import_dialog.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-005;INTEGRATION;Sélection d un résultat de recherche vers extraction audio;Acheminement de l URL canonique vers downloadAudio() et transcription ASR / export;PASS;Pipeline audio réutilisé sans duplication de code;test/web_media_search_test.dart (SEARCH-005 PASS);lib/widgets/web_media_import_dialog.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-006;INTEGRATION;Sélection d un résultat de recherche vers téléchargement vidéo;Acheminement de l URL canonique vers downloadVideo() et sélecteur de fichier;PASS;Téléchargement vidéo opérationnel avec dialogue de sauvegarde OS;test/web_media_search_test.dart (SEARCH-006 PASS);lib/widgets/web_media_import_dialog.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-007;INTEGRATION;Sélection d un résultat playlist vers Batch Queue;Acheminement de la playlist vers enumeratePlaylist() et mise en file d attente atomique Batch;PASS;Pistes de la playlist ajoutées avec persistance atomique dans BatchQueueNotifier;test/web_media_search_test.dart (SEARCH-007 PASS);lib/widgets/web_media_import_dialog.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-008;INTEGRATION;Sélection d un résultat vers extraction sous-titres;Extraction et filtrage des sous-titres officiels / auto dans la langue préférée;PASS;Piste préférée (française prioritaire) sélectionnée automatiquement;test/web_media_search_test.dart (SEARCH-008 PASS);lib/models/web_media_models.dart,lib/widgets/web_media_import_dialog.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-009;ROBUSTESSE;Annulation active d une recherche en cours via CancellationToken;Terminaison immédiate de l arbre de processus (taskkill /F /T) sans processus orphelin;PASS;Interruption instantanée, code d annulation géré avec notification UI;test/web_media_search_test.dart (SEARCH-009 PASS);lib/services/web_media_service.dart
REQ-POST-001;AUD-WEB-SEARCH;SEARCH-010;ROBUSTESSE;Gestion des délais d attente et des erreurs de provider;Lève une exception contrôlée sans blocage ni freeze de l interface;PASS;CancellationException ou WebMediaProcessException propagée proprement;test/web_media_search_test.dart (SEARCH-010 PASS);lib/services/web_media_service.dart
